skill	Id	charclass	skilldesc	srvstfunc	srvdofunc	prgstack	srvprgfunc1	srvprgfunc2	srvprgfunc3	prgcalc1	prgcalc2	prgcalc3	prgdam	srvmissile	decquant	lob	srvmissilea	srvmissileb	srvmissilec	srvoverlay	aurafilter	aurastate	auratargetstate	auralencalc	aurarangecalc	aurastat1	aurastatcalc1	aurastat2	aurastatcalc2	aurastat3	aurastatcalc3	aurastat4	aurastatcalc4	aurastat5	aurastatcalc5	aurastat6	aurastatcalc6	auraevent1	auraeventfunc1	auraevent2	auraeventfunc2	auraevent3	auraeventfunc3	auratgtevent	auratgteventfunc	passivestate	passiveitype	passivestat1	passivecalc1	passivestat2	passivecalc2	passivestat3	passivecalc3	passivestat4	passivecalc4	passivestat5	passivecalc5	passiveevent	passiveeventfunc	summon	pettype	petmax	summode	sumskill1	sumsk1calc	sumskill2	sumsk2calc	sumskill3	sumsk3calc	sumskill4	sumsk4calc	sumskill5	sumsk5calc	sumumod	sumoverlay	stsuccessonly	stsound	stsoundclass	stsounddelay	weaponsnd	dosound	dosound a	dosound b	tgtoverlay	tgtsound	prgoverlay	prgsound	castoverlay	cltoverlaya	cltoverlayb	cltstfunc	cltdofunc	cltprgfunc1	cltprgfunc2	cltprgfunc3	cltmissile	cltmissilea	cltmissileb	cltmissilec	cltmissiled	cltcalc1	*cltcalc1 desc	cltcalc2	*cltcalc2 desc	cltcalc3	*cltcalc3 desc	warp	immediate	enhanceable	attackrank	noammo	range	weapsel	itypea1	itypea2	itypea3	etypea1	etypea2	itypeb1	itypeb2	itypeb3	etypeb1	etypeb2	anim	seqtrans	monanim	seqnum	seqinput	durability	UseAttackRate	LineOfSight	TargetableOnly	SearchEnemyXY	SearchEnemyNear	SearchOpenXY	SelectProc	TargetCorpse	TargetPet	TargetAlly	TargetItem	AttackNoMana	TgtPlaceCheck	ItemEffect	ItemCltEffect	ItemTgtDo	ItemTarget	ItemCheckStart	ItemCltCheckStart	ItemCastSound	ItemCastOverlay	skpoints	reqlevel	maxlvl	reqstr	reqdex	reqint	reqvit	reqskill1	reqskill2	reqskill3	restrict	State1	State2	State3	delay	leftskill	repeat	checkfunc	nocostinstate	usemanaondo	startmana	minmana	manashift	mana	lvlmana	interrupt	InTown	aura	periodic	perdelay	finishing	passive	progressive	general	scroll	calc1	*calc1 desc	calc2	*calc2 desc	calc3	*calc3 desc	calc4	*calc4 desc	Param1	*Param1 Description	Param2	*Param2 Description	Param3	*Param3 Description	Param4	*Param4 Description	Param5	*Param5 Description	Param6	*Param6 Description	Param7	*Param7 Description	Param8	*Param8 Description	InGame	ToHit	LevToHit	ToHitCalc	ResultFlags	HitFlags	HitClass	Kick	HitShift	SrcDam	MinDam	MinLevDam1	MinLevDam2	MinLevDam3	MinLevDam4	MinLevDam5	MaxDam	MaxLevDam1	MaxLevDam2	MaxLevDam3	MaxLevDam4	MaxLevDam5	DmgSymPerCalc	EType	EMin	EMinLev1	EMinLev2	EMinLev3	EMinLev4	EMinLev5	EMax	EMaxLev1	EMaxLev2	EMaxLev3	EMaxLev4	EMaxLev5	EDmgSymPerCalc	ELen	ELevLen1	ELevLen2	ELevLen3	ELenSymPerCalc	aitype	aibonus	cost mult	cost add
Charged Bolt	38	sor	charged bolt		17												chargedbolt	chargedbolt	chargedbolt																																																										sorceress_cast_lightning											light_cast_1				23					chargedbolt												1	1		none												SC	SC	xx																	1						sorceress_cast_lightning		((ulvl-1)<(blvl*3)) ? (stat('newskills'.accr)+1) : 1	1	20													1						1	5	8	1	1										min(par3,ln12)	# bolts							4	Bolts to send out	1	Additional bolts per level	16	Max Bolts									28	damage synergy	1								8															ltng	3	1	4	8	13	15	5	3	5	10	15	18	((skill('Energy Shield'.blvl)*par8) + (stat('energy'.accr)/4) + (blvl*5*skill('Kick'.clc1)/100)								5	0
Ice Bolt	39	sor	ice bolt											icebolt																																																															sorceress_cast_cold											ice_cast_1								icebolt													1	5		none												SC	SC	xx																	1						sorceress_cast_cold		((ulvl-1)<(blvl*3)) ? (stat('newskills'.accr)+1) : 1	1	20													1						1	5	8	1	1																																28	damage synergy	1								8															cold	5	5	10	15	23	33	10	8	13	18	25	41	(skill('Frozen Orb'.blvl)*par8) + (stat('energy'.accr)/4) + (blvl*5*skill('Kick'.clc1)/100)	50	5	5	5				5	0
Frozen Armor	40	sor	frozen armor		68												aoebuff					frozenarmor		ln34 * (100 + stat('item_skill_duration_increased'.accr)) / 100		skill_armor_percent	ln12											damagedinmelee	2																																						sorceress_cast_cold				sorceress_frozenarmor							ice_cast_1	frozenarmor_hit								aoebuff												1	0		none												SC	SC	xx												1	1				1						sorceress_cast_cold	ice_cast_1	((ulvl-1)<(blvl*3)) ? (stat('newskills'.accr)+1) : 1	1	20								1					1						1	6	8	1	1	1									ln56	freeze length							50	% AC base	10	% AC per level	15000	Duration	0	Duration per level	50	Freeze Frames (NA since ally/pet targetable)	10	Freeze Frames per level	0	duration synergy	2	defense synergy	1								8															cold																			1		51	0
Inferno	41	sor	inferno		22												firenova1	firenova1	firenova1																																																										sorceress_cast_fire											fire_cast_1				25					firenova1												1	6		none												SC	SC	xx																	36	10					sorceress_cast_fire		((ulvl-1)<(blvl*3)) ? (stat('newskills'.accr)+1) : 1	5	20													1						1	6	8	1	1																		9	radius													28	damage synergy	1								8															fire	5	5	9	14	20	29	9	6	11	16	23	38	(skill('Fire Wall'.blvl)*par8) + (stat('energy'.accr)/4) + (blvl*5*skill('Kick'.clc1)/100)								5	10
Static Field	42	sor	static field	13	29												thunderstorm1					thunderstorm		ln12 * (100 + stat('item_skill_duration_increased'.accr)) / 100																																																					sorceress_thunder_cast									lightning		light_cast_2					84				thunderstorm1												1	5		none												SC	SC	xx																	1								((ulvl-1)<(blvl*3)) ? (stat('newskills'.accr)+1) : 1	20	20													1						1	6	8	1	1			1	20						20	period delay							31500	duration	150	additional duration/level	25	minimum repeat time (unused)	80	max repeat time (unused)	0	min % repeat time (unused)	-1	repeat time synergy (unused)	24	radius	14	damage synergy	1								8															ltng	1	0	0	0	0	0	23	9	19	26	45	45	((skill('Nova'.blvl)+skill('Lightning'.blvl))*par8) + (stat('energy'.accr)/4) + (blvl*5*skill('Kick'.clc1)/100)								51	40
Telekinesis	43	sor	telekinesis	12	21																				par1																																																				sorceress_cast_lightning				sorceress_telekinesis							light_cast_2																					1	10		none												SC	SC	xx					4									1									sorceress_telekinesis		((ulvl-1)<(blvl*3)) ? (stat('newskills'.accr)+1) : 1	5	20													1						1	5	8	1	1	1																	30	On-screen cast range.	75	Chance to knockback/stun.											14	damage synergy	1				5	2	109		8															ltng	15	5	10	15	23	35	20	8	13	18	25	43	((skill('Chain Lightning'.blvl)+skill('Thunder Storm'.blvl))*par8) + (stat('energy'.accr)/4) + (blvl*5*skill('Kick'.clc1)/100)								5	10
Frost Nova	44	sor	frost nova		22												frostnova	frostnova	frostnova																																																										sorceress_cast_cold											ice_cast_2				25					frostnova												1	6		none												SC	SC	SC																	36	10					sorceress_cast_cold		((ulvl-1)<(blvl*3)) ? (stat('newskills'.accr)+1) : 1	5	20													1						1	6	8	1	1																		9	radius of freeze	3	additional radius/level											14	damage synergy	1								8															cold	5	5	9	14	20	29	9	6	11	16	23	38	((skill('Shiver Armor'.blvl)+skill('Chilling Armor'.blvl))*par8) + (stat('energy'.accr)/4) + (blvl*5*skill('Kick'.clc1)/100)	50	10	10	10				5	10
Ice Blast	45	sor	ice blast											iceblast2											par3																																																				sorceress_cast_cold											ice_cast_1								iceblast2													1	6		none												SC	SC	xx																	1						sorceress_cast_cold		((ulvl-1)<(blvl*3)) ? (stat('newskills'.accr)+1) : 1	5	20													1						1	6	8	1	1																		7	Duration of freeze	0	additional duration/level	15	range							5	freeze synergy	14	damage synergy	1								8															cold	8	3	5	10	15	25	15	4	6	11	16	26	((skill('Blizzard'.blvl)+skill('Glacial Spike'.blvl))*par8) + (stat('energy'.accr)/4) + (blvl*5*skill('Kick'.clc1)/100)	50	10	10	10				5	10
Blaze	46	sor	blaze		17												flamewav	flamewav	flamewav																																																										sorceress_cast_fire											fire_cast_2				23					flamewav												1	1		none												SC	SC	xx																	1						sorceress_cast_fire		((ulvl-1)<(blvl*3)) ? (stat('newskills'.accr)+1) : 1	10	20													1						1	6	8	1	1										min(par3,ln12)	bolts							6	bolts to send out	1	additional bolts per lvl	16	max bolts									14	damage synergy	1								8															fire	4	1	3	8	10	15	8	3	4	9	11	18	((skill('Fire Bolt'.blvl)+skill('Meteor'.blvl))*par8) + (stat('energy'.accr)/4) + (blvl*5*skill('Kick'.clc1)/100)								5	0
Fire Ball	47	sor	fire ball											fireball																																																															sorceress_cast_fire											fire_cast_2								fireball													1	5		none												SC	SC	xx																	1						sorceress_cast_fire		((ulvl-1)<(blvl*3)) ? (stat('newskills'.accr)+1) : 1	5	20													1						1	6	8	1	1																		5	radius	0	radius per lvl											14	damage synergy	1								8															fire	13	6	10	15	20	29	25	8	13	18	23	36	((skill('Enchant'.blvl)+skill('Hydra'.blvl))*par8) + (stat('energy'.accr)/4) + (blvl*5*skill('Kick'.clc1)/100)								5	20
Nova	48	sor	nova		22												nova	nova	nova																																																										sorceress_cast_lightning											light_cast_1				25					nova												1	2		none												SC	SC	xx																	36	10					sorceress_cast_lightning		((ulvl-1)<(blvl*3)) ? (stat('newskills'.accr)+1) : 1	5	20													1						1	6	8	1	1																		12	number of missiles	4	additional missiles per level											14	damage synergy	1								8															ltng	5	5	9	14	20	29	9	6	11	16	23	38	((skill('Static Field'.blvl)+skill('Lightning'.blvl))*par8) + (stat('energy'.accr)/4) + (blvl*5*skill('Kick'.clc1)/100)								5	20
Lightning	49	sor	lightning											lightningbolt																																																															sorceress_cast_lightning											light_cast_1								lightningbolt													1	6		none												SC	SC	xx																	1						sorceress_cast_lightning		((ulvl-1)<(blvl*3)) ? (stat('newskills'.accr)+1) : 1	10	20													1						1	6	8	1	1																		10	minimum damage	20	max damage	4	increase in dam/level (min & max)									14	damage synergy	1								8															ltng	1	0	0	0	0	0	38	19	25	38	56	81	(skill('Nova'.blvl)+(skill('Static Field'.blvl))*par8 + (stat('energy'.accr)/4) + (blvl*5*skill('Kick'.clc1)/100)								5	20
Shiver Armor	50	sor	shiver armor		18																	shiverarmor		ln34 * (100 + stat('item_skill_duration_increased'.accr)) / 100		damageresist	blvl/2											attackedinmelee	3																																						sorceress_cast_cold				sorceress_shiverarmor							ice_cast_2	shiverarmor_hit								sparkle				10	sparkle delay	5	sparkle radius	3	sparkle height			1	0		none												SC	SC	xx																	1						sorceress_cast_cold	ice_cast_3	((ulvl-1)<(blvl*3)) ? (stat('newskills'.accr)+1) : 1	6	20								1					1						1	6	8	1	1	1																	0	% AC base	0	% AC per level	30000	Duration	0	duration per level			2	Levels per +1%PhysRes synergy	75	duration synergy	14	damage synergy	1								8															cold	3	3	4	7	10	14	4	3	6	8	11	19	((skill('Frost Nova'.blvl)+skill('Chilling Armor'.blvl))*par8) + (stat('energy'.accr)/4) + (blvl*5*skill('Kick'.clc1)/100)	100	10	10	10				51	10
Fire Wall	51	sor	fire wall		24												firewallmaker	firewall																																																											sorceress_cast_fire											fire_cast_2				26					firewallmaker												1	4		none												SC	SC	SC					4				1								1						sorceress_cast_fire		((ulvl-1)<(blvl*3)) ? (stat('newskills'.accr)+1) : 1	15	20												clc4	1						1	6	8	1	1										stat('energy'.accr)/20						10 * (100-min(stat('item_cast_delay_reduced'.accr),skill('Kick'.par4)))/100	CastDelay (skillDesc)															28	damage synergy	1								0															fire																					5	30
Enchant	52	sor	enchant		114																				20+lvl	firemindam	enms/256	firemaxdam	exms/256																			energy	stat('energy'.accr)	strength	ulvl									spiritofenchant	totem	1	NU	Enchant Aura	lvl	Fire Ball	skill('Fire Ball'.blvl)	Hydra	skill('Hydra'.blvl)	Enchant	blvl						druid_summon																																1	0		none												SC	SC	xx				1	4																				((ulvl-1)<(blvl*3)) ? (stat('newskills'.accr)+1) : 1	20	20													1						1	8	8	1	1	1									(lvl-1)*par1	%HP bonus	ulvl	totem lvl					20	+%HP per level	3	Bonus Level	25	attack rating	25	AR per lvl	5	+HP per strike (aura)	2	Levels per +1HP per strike	20	radius	14	damage synergy	1								8															fire	16	4	6	9	13	17	24	6	8	10	16	20	((skill('Fire Ball'.blvl)+skill('Hydra'.blvl))*par8) + (stat('energy'.accr)/4) + (blvl*5*skill('Kick'.clc1)/100)								26	30
Chain Lightning	53	sor	chain lightning		26												chainlightning	chainlightning	chainlightning						par1																																																				sorceress_cast_lightning											light_cast_1				27					chainlightning	chainlightning	chainlightning										1	2		none												SC	SC	SC																	151	96					sorceress_cast_lightning		((ulvl-1)<(blvl*3)) ? (stat('newskills'.accr)+1) : 1	15	20													1						1	6	8	1	1										ln34 / par5	# hits							20	radius of jump to next target			26	bolts (5ths)	1	bolts per level (5ths)	5	5ths					14	damage synergy	1								8															ltng	1	0	0	0	0	0	23	11	16	25	35	52	(skill('Telekinesis'.blvl)+skill('Thunder Storm'.blvl))*par8 + (stat('energy'.accr)/4) + (blvl*5*skill('Kick'.clc1)/100)								5	30
Teleport	54	sor	teleport		27																																																																								sorceress_teleport											teleport																			1		1	0		none												SC	SC	xx					4												1		1	2			sorceress_teleport	teleport	((ulvl-1)<(blvl*3)) ? (stat('newskills'.accr)+1) : 1	15	20												clc1	1						1	3	768	-7	1										125 * (100-min(stat('item_cast_delay_reduced'.accr),skill('Kick'.par4)))/100	CastDelay (skillDesc)																			1	cast delay reduction			1								8															ltng																					5	30
Glacial Spike	55	sor	glacial spike											glacialspike										ln34	ln12																																																				sorceress_cast_cold											ice_cast_2								glacialspike													1	7		none												SC	SC	SC																	1						sorceress_cast_cold		((ulvl-1)<(blvl*3)) ? (stat('newskills'.accr)+1) : 1	15	20													1						1	6	8	1	1																		2	radius	0	radius per level	50	freeze frames	3	freeze frames per level					5	freeze synergy	14	damage synergy	1								8															cold	10	6	10	15	20	26	23	8	13	18	23	34	((skill('Blizzard'.blvl)+skill('Ice Blast'.blvl))*par8) + (stat('energy'.accr)/4) + (blvl*5*skill('Kick'.clc1)/100)								5	30
Meteor	56	sor	meteor		28												meteorcenter	meteorcenter	meteorcenter						clc1																																																				sorceress_cast_fire				sorceress_meteor							fire_cast_2				28					meteorcenter												1	6		none												SC	SC	xx					4				1								1						sorceress_cast_fire	fire_cast_2	((ulvl-1)<(blvl*3)) ? (stat('newskills'.accr)+1) : 1	20	20												clc3	1						1	8	32	1	1										ln12	radius	lvl/3	castdelayperlvl	(45) * (100-min(stat('item_cast_delay_reduced'.accr),skill('Kick'.par4)))/100	CastDelay (skillDesc)	500	Duration for description only (bugged?)	7	radius of explosion	0	radius per level	100	Frames of fire (see missiles.txt meteorfire for dmg)	0	Frames of fire per level							14	damage synergy	1								8															fire	36	18	25	44	56	75	75	24	30	48	63	88	((skill('Blaze'.blvl)+skill('Fire Bolt'.blvl))*par8) + (stat('energy'.accr)/4) + (blvl*5*skill('Kick'.clc1)/100)								5	40
Thunder Storm	57	sor	thunder storm		28												tscenter	tscenter	tscenter																																																										sorceress_thunder_cast											light_cast_1				28					tscenter												1	7		none												SC	SC	xx					4				1								1						sorceress_cast_lightning		((ulvl-1)<(blvl*3)) ? (stat('newskills'.accr)+1) : 1	20	20												clc4	1						1	8	32	1	1										par1	radius	par3	frequency			45 * (100-min(stat('item_cast_delay_reduced'.accr),skill('Kick'.par4)))/100	CastDelay (skillDesc)	6	radius			2	Missile delay	0	Change duration in Missiles.xls							14	damage synergy	1								8															ltng	13	6	10	15	20	29	25	8	11	18	23	36	((skill('Telekinesis'.blvl)+skill('Chain Lightning'.blvl))*par8) + (stat('energy'.accr)/4) + (blvl*5*skill('Kick'.clc1)/100)								5	40
Energy Shield	58	sor	energy shield		23																	energyshield		ln12 * (100 + stat('item_skill_duration_increased'.accr)) / 100														absorbdamage	24									item_poisonlengthresist	min(ln34/2,100)																												sorceress_cast_lightning				sorceress_energyshield					energyshieldhit0		light_cast_2																					1	4		none												SC	SC	xx																									((ulvl-1)<(blvl*3)) ? (stat('newskills'.accr)+1) : 1	5	20								1					1						1	6	12	1	1	1									10+blvl*2	damage absorption	16	ratio	lvl-1	Used by skilldesc, don't change	lvl-2	Used by skilldesc, don't change	90000	duration	0	additional duration/level	3	%Poison Length Reduced	1	+%PLRed per level	32	Mana Damage mult in sixteenths	8	Min Mana damage in sixteenths			0	Duration synergy	1								8															ltng																					5	30
Blizzard	59	sor	blizzard		28												blizzardcenter	blizzardcenter	blizzardcenter																																																										sorceress_cast_cold											ice_cast_3				28					blizzardcenter												1	7		none												SC	SC	xx					4				1								1						sorceress_cast_cold	ice_cast_3	((ulvl-1)<(blvl*3)) ? (stat('newskills'.accr)+1) : 1	20	20												clc4	1						1	8	32	1	1										6	radius	(lvl>50) ? 2 : ((lvl>25) ? 3 : 4)	frequency			45 * (100-min(stat('item_cast_delay_reduced'.accr),skill('Kick'.par4)))/100	CastDelay (skillDesc)	6	radius			2	Missile delay	0	Change duration in Missiles.xls							14	damage synergy	1								8															cold	15	8	13	19	25	29	25	8	11	18	23	36	((skill('Glacial Spike'.blvl)+skill('Ice Blast'.blvl))*par8) + (stat('energy'.accr)/4) + (blvl*5*skill('Kick'.clc1)/100)	100	5	5	5				5	40
Chilling Armor	60	sor	chilling armor		18												chillingarmorbolt					chillingarmor		ln34 * (100 + stat('item_skill_duration_increased'.accr)) / 100		damageresist	blvl/2											hitbymissile	1																																						sorceress_cast_cold				sorceress_shiverarmor							ice_cast_3	chillarmor_hit								chillingarmorbolt												1	5		none												SC	SC	xx																	1						sorceress_cast_cold		((ulvl-1)<(blvl*3)) ? (stat('newskills'.accr)+1) : 1	10	20								1					1						1	6	8	1	1	1																	100	% AC Bonus	10	% AC bonus per level	30000	duration	0	duration per level			5	Levels per +1%PhysRes synergy	0	duration synergy	14	damage synergy	1								8															cold	3	3	4	7	10	14	4	3	6	8	11	19	((skill('Shiver Armor'.blvl)+skill('Frost Nova'.blvl))*par8) + (stat('energy'.accr)/4) + (blvl*5*skill('Kick'.clc1)/100)	150	10	10	10				51	40
Fire Mastery	61	sor	fire mastery																																											firemastery		passive_fire_mastery	(skill(36.blvl)+skill(37.blvl)+skill(41.blvl)+skill(46.blvl)+skill(47.blvl)+skill(51.blvl)+skill(52.blvl)+skill(56.blvl)+skill(62.blvl))/5	item_poisonlengthresist	skill(36.blvl)+skill(37.blvl)+skill(41.blvl)+skill(46.blvl)+skill(47.blvl)+skill(51.blvl)+skill(52.blvl)+skill(56.blvl)+skill(62.blvl)																																																										1	3		none												SC	SC	xx																									((ulvl-1)<(blvl*3)) ? (stat('newskills'.accr)+1) : 1	20	1																			0	6	8	1	1						1												2	% Damage bonus	2	% Damage bonus per level	0		0					** 27 States on char crashes game		** 19 States on char drops in Miultiplayer			1								8															fire																					102	50
Hydra	62	sor	hydra	14	144																																											passive_fire_mastery	stat('passive_fire_mastery'.accr)	passive_fire_pierce	stat('passive_fire_pierce'.accr)	energy	stat('energy'.accr)	hurricane	ulvl					hydra1	hydra	3	S2	HydraMissile	lvl	Fire Ball	skill('Fire Ball'.blvl)	Enchant	skill('Enchant'.blvl)	Teeth	blvl					1	sorceress_cast_fire											fire_cast_2			17																		1	7		none												SC	SC	S1					4												1				1		sorceress_cast_fire	fire_cast_2	((ulvl-1)<(blvl*3)) ? (stat('newskills'.accr)+1) : 1	15	20												clc4	1						1	8	20	1	1																0	CastDelay (skillDesc)	40	duration	0	additional duration/level											14	damage synergy	1								8															fire	12	6	8	15	19	25	25	8	10	16	21	29	((skill('Fire Ball'.blvl)+skill('Enchant'.blvl))*par8) + (stat('energy'.accr)/4) + (max(blvl,skill('Teeth'.lvl))*5*(max(skill('Kick'.clc1),((stat('hurricane'.accr)>40)?(stat('hurricane'.accr)*10-400):0)))/100)								5	50
